Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
AYACUCHO;2007;14;578;466;0;17;2;7;4;25;45;2;16;1;174;3;0;154;0;11
CAJAMARCA;2007;130;607;1071;1;7;7;64;13;89;16;4;25;7;22;3;0;18;11;153
CALLAO;2007;12;35;184;4;91;40;5;50;95;14;54;30;4;7;69;1;50;38;3
CUSCO;2007;17;930;1645;4;438;15;10;171;244;4;55;49;69;89;3;1;420;0;299
HUANCAVELICA;2007;10;60;77;1;10;16;7;3;14;1;6;6;13;33;6;0;14;0;45
HUANUCO;2007;10;344;465;1;17;2;7;6;114;4;6;13;4;11;13;0;5;2;20
HUANUCO TINGO MARIA;2007;4;251;20;0;;2;48;2;15;69;1;2;1;2;2;0;6;8;101
ICA;2007;11;923;942;3;15;7;1;17;30;0;24;651;7;57;136;1;196;4;9
JUNIN;2007;41;689;439;0;410;12;279;20;198;121;232;40;114;301;9;5;355;6;410
LA LIBERTAD;2007;157;793;1585;6;40;202;16;24;1666;27;283;113;229;82;28;0;1372;11;102
LAMBAYEQUE;2007;848;1349;1300;5;6;21;18;6;373;11;30;558;3;10;18;0;254;7;277
LIMA;2007;1394;4318;11793;680;1588;1959;357;1338;6084;639;2104;3048;658;1697;1289;427;3569;1117;793
LORETO;2007;2;391;237;1;11;7;213;3;32;82;16;33;1;2;13;4;256;12;8
MADRE DE DIOS;2007;1;48;34;1;6;0;39;3;10;1;2;;4;3;5;0;14;3;13
MOQUEGUA;2007;10;90;171;6;7;23;;19;66;12;56;23;36;29;29;0;57;7;6
PASCO;2007;2;38;19;1;5;0;1;52;6;0;6;5;60;163;1;0;24;5;67
