Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
HUANUCO TINGO MARIA;2014;347;2;31;2;3;3;219;1;68;162;1;2;1;2;2;0;8;72;225
ICA;2014;1206;6;1392;4;15;78;3;8;149;32;20;1119;49;136;176;0;480;126;16
JUNIN;2014;1010;67;1089;2;872;48;538;30;726;400;470;27;444;992;11;2;618;29;648
LA LIBERTAD;2014;1044;298;2799;8;60;490;25;30;3313;315;766;134;612;363;37;6;1791;45;161
LAMBAYEQUE;2014;1554;1267;1941;4;27;127;77;7;1180;124;62;1210;6;9;21;2;482;11;412
LIMA;2014;5092;1982;16318;977;2868;3540;566;1976;11056;1456;3436;3963;1112;2824;1757;605;4889;2658;1022
LORETO;2014;516;4;352;3;18;10;384;3;98;160;18;32;1;2;15;0;369;70;10
MADRE DE DIOS;2014;56;4;58;1;13;3;150;5;23;23;3;3;7;9;6;0;17;5;15
MOQUEGUA;2014;202;27;460;120;12;43;0;30;259;56;125;121;78;60;66;0;70;25;5
PASCO;2014;164;2;25;0;6;2;2;100;65;8;8;5;154;331;0;0;26;102;238
PIURA;2014;1360;107;1387;5;25;151;5;175;1784;170;62;436;11;487;503;232;290;21;221
PUNO;2014;1129;431;1385;861;59;159;6;182;649;235;11;465;126;305;35;0;247;4;17
S.M. MOYOBAMBA;2014;139;17;98;3;3;2;23;3;66;41;5;12;2;2;6;0;14;188;32
S.M. TARAPOTO;2014;621;18;583;3;13;12;72;2;231;225;14;18;1;0;5;0;23;79;105
TACNA;2014;396;35;825;319;30;124;4;71;434;187;122;49;146;225;181;0;97;7;17
TUMBES;2014;436;24;121;1;1;6;69;1;64;9;1;16;0;10;264;5;18;2;10
UCAYALI;2014;391;15;152;4;26;10;263;3;103;28;10;15;2;0;8;6;31;12;42
AMAZONAS;2015;100;130;4;7;4;18;4;67;208;5;20;0;0;11;1;10;21;53;683
ANCASH CHIMBOTE;2015;135;1101;3;26;35;3;4;642;283;87;267;24;13;98;1;109;17;10;2883
ANCASH HUARAZ;2015;465;767;3;11;7;16;11;196;130;6;14;9;166;14;0;21;244;34;2462
APURIMAC;2015;438;250;7;35;6;7;17;238;274;6;18;5;67;5;1;28;11;33;1485
AREQUIPA;2015;1350;2198;113;258;527;5;1059;1817;454;497;537;996;494;195;2;1428;82;71;12137
AYACUCHO;2015;1009;783;0;18;9;6;5;114;283;3;18;2;320;6;0;231;7;19;2988
CAJAMARCA;2015;938;1778;1;8;20;154;163;423;139;29;34;23;89;2;0;30;122;211;4186
CALLAO;2015;73;296;13;187;174;18;75;322;80;119;47;12;30;143;0;120;122;14;1880
CUSCO;2015;1642;2820;17;788;123;20;412;977;131;278;38;167;297;9;2;551;10;650;8950
HUANCAVELICA;2015;173;215;1;15;63;10;3;49;23;10;7;15;92;8;0;25;24;179;925
HUANUCO;2015;619;824;0;18;1;9;7;405;93;8;11;7;19;12;1;6;20;36;2111
HUANUCO TINGO MARIA;2015;368;31;2;3;3;248;1;71;184;1;2;1;2;2;0;7;98;246;1272
ICA;2015;1285;1459;6;14;105;3;8;189;45;21;1217;61;152;184;0;538;220;16;5528
JUNIN;2015;1048;1190;2;935;54;568;29;805;437;506;26;491;1068;11;2;652;52;662;8608
LA LIBERTAD;2015;1100;3123;8;60;534;26;32;3641;367;854;144;693;461;38;5;1863;70;168;13510
LAMBAYEQUE;2015;1626;2179;6;29;147;82;7;1380;153;70;1288;5;14;23;2;546;22;437;9375
LIMA;2015;5208;17177;1026;2988;3973;615;1974;12052;1642;3676;4167;1191;2993;1836;641;5190;3099;1038;72687
LORETO;2015;554;370;3;18;10;454;2;124;189;20;31;1;2;16;0;397;96;10;2301
MADRE DE DIOS;2015;65;63;1;13;3;163;5;27;27;4;3;8;9;7;1;17;5;13;439
MOQUEGUA;2015;235;524;152;12;43;0;27;286;62;128;135;82;61;66;0;75;35;5;1962
PASCO;2015;186;32;0;7;2;2;111;83;8;8;5;176;376;0;0;26;121;249;1394
PIURA;2015;1420;1512;5;26;177;5;201;2020;210;68;480;12;530;555;278;339;32;223;8214
PUNO;2015;1177;1501;916;58;171;6;191;750;273;14;513;141;324;35;0;264;12;17;6815
S.M. MOYOBAMBA;2015;144;106;3;3;2;24;3;74;40;5;12;2;2;7;0;13;237;33;726
S.M. TARAPOTO;2015;674;672;3;13;12;73;0;253;249;15;21;1;0;6;0;26;113;110;2261
TACNA;2015;420;918;384;30;130;4;84;473;217;134;52;170;243;203;0;101;8;18;3624
TUMBES;2015;470;134;1;1;6;86;1;77;9;1;16;0;9;279;5;18;3;10;1150
UCAYALI;2015;436;164;4;28;11;296;3;118;34;11;16;2;0;8;6;29;43;42;1267
AMAZONAS;2016;19;105;142;4;7;4;18;4;69;239;5;20;0;0;11;1;10;32;55
ANCASH CHIMBOTE;2016;24;144;1211;3;26;37;3;4;737;321;94;311;25;13;104;1;109;18;10
ANCASH HUARAZ;2016;359;495;876;3;11;7;17;12;223;135;6;14;11;184;14;0;22;273;34
APURIMAC;2016;41;453;296;7;35;7;7;17;260;302;7;18;5;73;5;1;28;23;34
AREQUIPA;2016;54;1390;2326;140;293;560;5;1120;2002;494;550;565;1078;545;208;2;1510;124;73
AYACUCHO;2016;164;1038;847;0;18;10;6;5;126;302;3;18;2;333;6;0;239;11;21
CAJAMARCA;2016;21;959;1874;3;8;20;171;185;496;152;58;36;24;142;2;0;30;129;224
CALLAO;2016;38;78;318;30;198;187;18;78;387;94;125;62;13;33;157;0;134;127;19
CUSCO;2016;18;1712;3057;18;806;128;21;441;1052;152;286;38;175;318;9;4;564;24;673
HUANCAVELICA;2016;13;186;273;2;15;67;10;3;51;26;10;7;15;101;8;0;25;45;198
HUANUCO;2016;16;636;858;0;19;2;9;8;450;100;8;12;9;21;12;1;6;31;36
HUANUCO TINGO MARIA;2016;2;390;31;2;3;3;272;1;83;193;1;2;1;2;2;0;7;131;256
ICA;2016;5;1323;1550;6;14;119;3;8;249;66;22;1294;73;157;197;0;587;281;16
JUNIN;2016;70;1097;1322;4;993;62;608;30;885;471;540;26;520;1130;11;2;698;73;679
LA LIBERTAD;2016;340;1137;3416;9;61;568;28;33;3928;420;926;157;772;528;39;5;1899;94;176
LAMBAYEQUE;2016;1416;1662;2424;11;29;179;93;8;1586;198;78;1389;6;17;23;4;581;25;455
LIMA;2016;2296;5306;18014;1066;3136;4320;651;2062;13208;1793;3894;4343;1279;3128;1937;696;5455;3591;1067
LORETO;2016;4;582;384;3;18;10;514;2;161;207;22;32;1;2;16;0;425;118;11
MADRE DE DIOS;2016;5;71;64;1;14;3;181;5;33;30;4;4;10;9;7;1;17;6;13
MOQUEGUA;2016;34;262;553;176;14;44;0;28;307;65;132;139;84;64;67;0;73;46;5
PASCO;2016;2;199;61;0;7;2;2;118;89;10;8;5;200;399;0;0;26;143;261
PIURA;2016;132;1473;1648;5;27;209;6;255;2230;242;74;522;12;574;588;340;380;44;230
PUNO;2016;487;1209;1613;969;58;187;5;202;828;302;14;558;152;345;36;0;302;27;17
S.M. MOYOBAMBA;2016;16;145;114;3;3;2;25;4;77;41;6;13;2;2;7;0;14;279;36
S.M. TARAPOTO;2016;21;711;742;3;14;13;74;0;280;271;15;21;2;0;7;0;27;137;120
TACNA;2016;36;437;1016;430;31;135;4;84;511;237;145;52;185;248;213;0;105;10;18
TUMBES;2016;26;477;150;1;1;6;93;1;84;9;1;16;0;9;287;5;18;3;10
UCAYALI;2016;16;461;177;4;28;11;316;3;132;38;12;16;2;0;8;6;31;66;43
AMAZONAS;2017;20;120;160;4;6;5;18;5;75;256;6;19;1;0;11;2;11;45;62
ANCASH CHIMBOTE;2017;23;151;1371;3;26;36;3;5;825;353;102;352;25;17;111;1;109;14;11
ANCASH HUARAZ;2017;378;519;928;3;10;7;17;12;258;138;6;15;12;227;15;0;24;297;34
APURIMAC;2017;41;478;347;8;35;8;7;19;288;342;7;18;7;90;5;1;29;80;36
AREQUIPA;2017;53;1438;2470;169;325;599;5;1195;2250;522;601;590;1191;615;228;2;1578;165;73
AYACUCHO;2017;205;1078;908;0;17;9;8;6;146;323;4;18;3;347;7;0;251;21;21
CAJAMARCA;2017;22;991;2030;3;9;21;186;217;567;173;65;40;26;189;2;0;33;161;240
CALLAO;2017;44;92;359;35;203;203;21;81;460;103;131;75;20;40;168;1;146;158;24
CUSCO;2017;20;1808;3252;20;831;136;20;472;1159;170;302;38;185;332;9;5;579;34;695
HUANCAVELICA;2017;13;191;340;2;16;75;11;3;63;31;11;7;15;103;10;0;26;60;220
HUANUCO;2017;15;677;968;1;20;3;10;9;506;128;8;11;9;25;12;1;6;76;37
HUANUCO TINGO MARIA;2017;2;414;33;2;3;3;289;1;80;196;1;4;1;2;2;0;7;185;265
ICA;2017;5;1364;1652;6;14;129;3;8;294;78;22;1322;87;170;215;0;619;323;17
JUNIN;2017;72;1137;1436;4;1018;70;649;32;937;500;589;27;556;1187;11;3;739;100;701
LA LIBERTAD;2017;357;1161;3621;9;62;611;30;34;4274;464;995;187;832;606;39;5;1924;133;179
LAMBAYEQUE;2017;1475;1695;2622;19;28;201;106;8;1765;232;80;1538;6;22;22;4;615;46;474
LIMA;2017;2368;5394;18918;1112;3305;4684;694;2148;14489;1957;4081;4532;1344;3218;2045;723;5667;3982;1088
LORETO;2017;5;612;413;3;17;12;559;2;185;216;23;32;1;2;16;0;454;152;11
MADRE DE DIOS;2017;5;72;71;2;14;5;192;5;38;43;3;4;10;9;7;1;18;7;13
MOQUEGUA;2017;38;289;585;211;18;47;0;29;321;64;139;160;87;71;70;0;74;61;5
PASCO;2017;2;213;84;0;7;2;3;128;97;14;8;5;225;431;0;0;27;165;274
PIURA;2017;145;1517;1790;6;26;243;6;287;2396;274;75;549;12;608;612;361;396;55;232
PUNO;2017;498;1242;1701;1002;60;198;5;227;883;327;14;610;163;368;36;0;318;35;16
S.M. MOYOBAMBA;2017;16;148;121;3;3;2;25;4;83;44;6;13;3;2;8;0;15;327;35
S.M. TARAPOTO;2017;22;733;818;4;15;14;75;0;303;283;16;37;2;0;7;0;26;171;127
TACNA;2017;35;446;1111;473;32;137;4;87;546;268;147;53;189;257;217;0;110;11;18
TUMBES;2017;31;495;162;1;1;7;107;1;91;20;1;16;0;9;300;5;19;3;10
UCAYALI;2017;16;497;206;4;28;12;349;3;141;51;12;18;2;0;10;7;34;87;43
AMAZONAS;2018;20;128;176;5;6;5;20;5;78;283;6;21;1;0;11;2;11;80;76
ANCASH CHIMBOTE;2018;24;160;1544;3;26;35;3;5;945;398;106;386;26;22;115;1;109;17;11
ANCASH HUARAZ;2018;385;548;1015;3;10;6;17;13;302;147;6;15;12;263;15;0;27;347;34
APURIMAC;2018;42;501;379;9;37;8;8;20;317;370;8;19;7;100;5;1;28;100;37
AREQUIPA;2018;53;1485;2617;196;339;648;5;1248;2591;574;649;618;1271;678;236;2;1657;225;74
AYACUCHO;2018;215;1114;960;0;16;9;8;6;169;345;4;18;2;355;7;0;254;29;22
CAJAMARCA;2018;22;1017;2230;10;9;26;205;257;702;203;82;51;28;271;2;0;35;198;245
CALLAO;2018;46;97;410;42;211;221;24;85;543;116;141;78;25;43;177;1;156;175;27
CUSCO;2018;21;1916;3491;23;874;146;21;513;1270;191;319;43;188;354;10;5;594;47;726
HUANCAVELICA;2018;13;204;378;2;17;78;13;4;69;37;11;7;15;109;10;0;27;68;229
HUANUCO;2018;16;707;998;1;20;4;9;9;574;150;8;11;12;28;12;1;6;104;39
HUANUCO TINGO MARIA;2018;2;440;34;2;3;3;314;1;86;201;1;4;1;2;2;0;8;215;277
ICA;2018;5;1432;1754;7;14;150;3;8;343;102;22;1392;113;211;238;0;681;398;17
JUNIN;2018;72;1186;1632;4;1093;82;707;33;1051;540;674;29;610;1243;12;3;808;145;722
LA LIBERTAD;2018;401;1190;4104;10;64;658;32;35;4608;527;1067;237;902;660;39;5;1972;198;197
LAMBAYEQUE;2018;1521;1734;2854;39;25;229;117;8;1963;254;85;1699;6;23;22;6;646;88;495
LIMA;2018;2452;5471;19755;1135;3398;4992;736;2230;15640;2101;4228;4699;1415;3329;2126;738;5877;4313;1109
LORETO;2018;5;640;428;3;18;12;611;2;208;235;24;32;1;2;16;0;478;181;12
MADRE DE DIOS;2018;5;76;80;3;14;5;223;6;41;49;3;4;10;10;7;1;18;7;13
MOQUEGUA;2018;37;295;593;252;17;49;0;30;341;70;143;169;90;78;74;0;76;79;5
PASCO;2018;2;223;105;0;7;3;3;130;106;15;10;5;239;456;0;0;27;197;283
PIURA;2018;167;1569;1950;6;29;271;7;308;2586;290;76;570;15;638;643;408;411;66;233
PUNO;2018;514;1265;1813;1055;60;213;5;240;951;345;14;650;171;398;39;0;339;40;16
S.M. MOYOBAMBA;2018;17;151;142;4;3;2;27;4;102;46;6;14;3;2;8;0;16;374;35
S.M. TARAPOTO;2018;23;769;926;5;15;13;81;0;334;292;16;38;2;0;7;0;26;216;134
TACNA;2018;35;453;1188;515;33;143;4;89;575;281;155;54;198;278;225;0;118;16;18
TUMBES;2018;50;514;178;1;1;7;135;1;100;30;1;16;0;9;311;5;18;3;10
UCAYALI;2018;16;532;253;4;32;14;383;3;164;67;14;19;2;0;10;7;36;119;45
AMAZONAS;2019;140;19;209;8;6;6;21;5;85;305;6;22;1;0;11;2;14;118;83
ANCASH CHIMBOTE;2019;169;23;1772;5;26;37;3;5;1059;433;106;431;28;23;116;2;111;18;11
ANCASH HUARAZ;2019;581;401;1176;5;11;7;17;13;356;147;6;16;12;294;15;1;29;390;35
APURIMAC;2019;525;62;436;14;41;8;9;24;346;394;10;19;7;120;5;1;31;178;38
AREQUIPA;2019;1524;65;2722;161;366;695;5;1315;2710;624;696;665;1443;1026;249;2;1772;301;75
AYACUCHO;2019;1168;232;1008;0;17;10;8;6;186;366;6;18;2;372;7;0;272;35;23
CAJAMARCA;2019;1059;21;2395;12;9;25;229;284;871;211;87;83;27;406;2;0;33;266;253
CALLAO;2019;99;53;447;50;219;239;25;85;620;127;125;111;28;48;175;1;167;203;30
CUSCO;2019;1984;44;3750;26;898;151;21;544;1375;199;338;48;204;374;10;6;603;59;770
HUANCAVELICA;2019;221;13;435;3;17;80;13;5;79;47;13;7;15;114;10;1;40;69;243
HUANUCO;2019;736;16;1077;3;19;4;9;10;629;173;8;12;14;36;12;1;6;155;39
HUANUCO TINGO MARIA;2019;499;3;37;2;3;3;348;2;95;207;1;5;1;2;2;0;12;262;286
ICA;2019;1504;7;1852;7;13;165;2;8;424;124;17;1446;136;231;258;0;974;281;17
JUNIN;2019;1238;73;1818;4;1156;99;753;36;1164;564;715;35;651;1312;13;3;857;189;739
LA LIBERTAD;2019;1248;441;4590;26;64;681;35;37;4929;633;1123;304;1023;689;40;5;2019;293;212
LAMBAYEQUE;2019;1791;1529;3176;72;25;270;127;11;2191;345;89;1892;6;33;22;7;692;153;515
LIMA;2019;5542;2575;20879;1405;3546;5299;781;2283;16673;2267;3958;5380;1480;3432;2230;764;6136;4744;1128
LORETO;2019;681;6;475;3;17;12;645;2;254;250;17;39;1;2;17;1;495;209;20
MADRE DE DIOS;2019;77;5;93;2;15;5;249;6;41;50;3;5;11;9;7;1;19;6;13
MOQUEGUA;2019;289;43;631;286;20;55;1;34;357;81;155;177;94;94;77;0;75;96;5
PASCO;2019;247;2;148;0;8;3;3;147;121;17;16;7;261;493;0;0;28;248;305
PIURA;2019;1632;204;2238;15;30;313;8;337;2849;329;66;645;15;680;672;437;436;89;251
PUNO;2019;1168;698;1945;1401;62;245;6;266;735;371;12;709;181;439;39;0;367;59;16
S.M. MOYOBAMBA;2019;152;17;179;4;4;2;33;4;117;45;6;17;3;2;8;0;17;440;38
S.M. TARAPOTO;2019;805;24;1072;8;16;15;82;0;375;311;15;59;2;0;7;0;27;262;141
TACNA;2019;589;38;1272;415;28;149;4;92;610;292;156;59;207;285;229;0;118;23;18
TUMBES;2019;559;57;185;2;1;7;161;1;125;45;1;17;0;9;323;5;17;3;11
UCAYALI;2019;577;17;314;8;35;13;405;3;189;90;14;26;2;0;12;7;38;150;46
AMAZONAS;2020;165;18;237;10;6;6;24;5;90;318;6;25;1;0;11;2;15;139;96
ANCASH CHIMBOTE;2020;178;22;1958;5;26;40;3;6;1173;448;108;446;27;23;116;2;113;22;11
ANCASH HUARAZ;2020;598;408;1263;5;11;7;17;15;398;150;6;17;13;336;15;1;29;418;35
APURIMAC;2020;553;67;472;14;42;9;10;26;372;421;10;20;7;128;5;1;32;224;40
AREQUIPA;2020;1561;65;2835;180;373;719;5;1358;2874;690;738;696;1503;1153;253;2;1816;378;75
AYACUCHO;2020;1199;241;1065;0;17;11;8;6;201;378;6;19;2;397;6;0;278;40;24
CAJAMARCA;2020;1080;20;2568;16;9;26;248;305;1029;225;93;108;29;507;2;0;34;362;257
CALLAO;2020;102;56;495;50;228;261;26;88;687;130;132;124;27;49;181;2;178;215;33
CUSCO;2020;2027;49;3882;26;926;159;22;563;1428;210;346;51;215;409;10;6;608;65;792
HUANCAVELICA;2020;246;13;518;3;17;85;13;5;89;51;12;7;15;124;10;1;51;75;257
HUANUCO;2020;762;16;1153;3;20;4;10;12;664;201;8;13;14;37;12;1;6;198;42
HUANUCO TINGO MARIA;2020;520;3;39;2;3;3;358;2;95;209;1;5;1;2;2;0;12;277;299
ICA;2020;1518;7;1875;8;13;172;2;8;468;133;19;1450;146;237;265;0;1009;284;17
JUNIN;2020;1283;73;2071;4;1259;104;797;35;1270;604;750;37;694;1390;14;3;900;331;754
LA LIBERTAD;2020;1303;456;4918;30;65;710;43;36;5207;693;1156;340;1068;714;40;5;2035;379;222
LAMBAYEQUE;2020;1841;1593;3460;103;25;296;132;11;2413;397;91;2043;6;50;22;7;720;213;528
LIMA;2020;5603;2651;21950;1473;3722;5627;802;2342;17849;2397;4074;5581;1516;3529;2271;785;6291;5105;1144
LORETO;2020;723;6;521;3;17;14;683;3;296;261;17;41;1;2;17;1;500;252;27
MADRE DE DIOS;2020;80;5;100;3;13;5;265;7;48;58;3;7;11;9;8;1;19;7;13
MOQUEGUA;2020;295;44;674;317;22;58;1;35;378;84;162;202;97;109;85;0;77;119;5
PASCO;2020;267;2;182;0;9;4;5;166;134;17;22;7;271;518;0;0;28;290;318
PIURA;2020;1683;232;2461;18;32;332;8;351;3080;367;70;694;14;709;698;475;454;114;262
PUNO;2020;1199;726;2014;1456;63;259;6;282;766;388;12;743;189;496;42;0;387;107;16
S.M. MOYOBAMBA;2020;155;16;206;5;4;2;53;4;126;52;5;18;3;2;9;0;17;480;38
S.M. TARAPOTO;2020;836;24;1186;8;16;16;85;0;409;327;24;79;2;0;7;0;27;304;142
TACNA;2020;609;38;1351;456;29;150;3;95;625;298;165;62;213;291;233;0;122;43;18
TUMBES;2020;581;64;189;2;1;7;174;1;131;56;1;17;0;10;337;4;17;4;11
UCAYALI;2020;610;17;343;8;35;13;427;3;202;104;14;28;2;0;11;7;39;189;46
AMAZONAS;2021;178;17;315;10;6;6;26;6;94;335;7;28;1;0;11;2;15;162;106
ANCASH CHIMBOTE;2021;189;22;2325;7;27;42;4;6;1412;476;120;480;27;26;120;2;116;33;11
ANCASH HUARAZ;2021;632;425;1429;5;11;8;17;15;468;154;6;19;13;380;15;1;29;462;35
APURIMAC;2021;569;73;543;14;45;9;11;26;392;431;10;19;8;151;5;1;33;275;45
AREQUIPA;2021;1605;67;3117;200;399;781;5;1414;3205;728;801;732;1576;1323;264;2;1918;529;75
AYACUCHO;2021;1229;247;1226;1;19;13;8;7;229;396;5;19;2;424;6;0;286;73;24
CAJAMARCA;2021;1104;21;2811;24;10;26;280;337;1229;235;96;171;34;627;2;0;36;469;270
CALLAO;2021;108;63;617;52;234;282;29;91;816;137;142;127;29;48;185;2;188;226;36
CUSCO;2021;2070;51;4099;28;942;161;25;602;1525;224;347;52;222;437;10;6;615;108;807
HUANCAVELICA;2021;264;13;599;3;18;90;14;5;102;56;12;9;16;134;10;1;77;97;272
HUANUCO;2021;793;16;1216;3;20;6;10;16;720;230;9;14;15;41;12;1;6;240;43
HUANUCO TINGO MARIA;2021;538;3;44;2;3;3;369;2;102;217;1;5;1;2;2;0;12;297;305
ICA;2021;1567;7;1994;8;14;181;2;9;538;144;20;1469;161;248;281;0;1089;303;17
JUNIN;2021;1344;75;2416;5;1360;114;835;37;1449;635;797;50;743;1559;15;3;953;480;765
LA LIBERTAD;2021;1338;472;5639;45;66;739;43;38;5816;756;1191;421;1120;762;39;5;2073;498;227
LAMBAYEQUE;2021;1870;1653;3874;142;24;327;142;11;2681;448;94;2246;6;75;22;7;755;304;540
LIMA;2021;5688;2765;23981;1543;3881;6080;835;2454;19920;2539;4246;5893;1592;3689;2318;830;6523;5717;1168
LORETO;2021;757;6;565;3;17;14;731;3;346;278;18;41;1;2;17;1;518;279;37
MADRE DE DIOS;2021;82;5;136;3;12;5;292;7;58;64;3;8;11;9;8;1;19;10;13
MOQUEGUA;2021;296;46;730;349;25;59;2;35;402;89;165;212;100;126;87;0;78;134;5
PASCO;2021;288;2;225;1;9;4;5;172;159;19;24;10;287;537;0;0;28;336;330
PIURA;2021;1745;250;2893;23;33;368;11;373;3461;413;79;770;14;736;734;508;477;139;267
PUNO;2021;1227;758;2322;1528;62;281;7;301;823;416;12;794;200;576;42;0;407;176;16
S.M. MOYOBAMBA;2021;156;18;299;5;5;2;71;4;147;56;5;23;2;2;9;0;18;534;41
S.M. TARAPOTO;2021;862;24;1389;9;16;23;85;0;442;334;27;85;3;0;7;0;27;385;140
TACNA;2021;626;38;1477;500;30;154;3;95;641;306;175;62;220;306;236;0;124;68;18
TUMBES;2021;592;76;216;2;1;7;192;1;137;71;2;18;0;10;356;4;17;6;11
UCAYALI;2021;641;17;384;9;36;13;449;3;223;117;16;28;2;0;11;7;41;221;47
AMAZONAS;2022;203;17;362;11;6;6;32;6;115;349;8;29;1;0;11;2;16;188;116
ANCASH CHIMBOTE;2022;197;26;2704;9;27;45;4;6;1643;502;131;538;27;29;124;2;114;50;12
ANCASH HUARAZ;2022;671;439;1646;7;11;10;18;16;533;158;6;20;13;426;15;1;29;503;35
APURIMAC;2022;584;76;716;13;50;9;12;28;420;458;10;20;8;181;5;1;33;307;45
AREQUIPA;2022;1640;70;3656;239;424;833;5;1465;3745;761;948;762;1666;1522;270;3;2006;760;76
AYACUCHO;2022;1267;260;1392;12;19;15;9;7;266;408;7;23;2;456;6;1;295;109;25
CAJAMARCA;2022;1142;21;3135;34;11;27;301;385;1444;251;100;189;34;777;2;0;37;622;275
CALLAO;2022;114;71;732;57;259;301;31;92;942;150;161;139;33;51;192;4;203;257;38
CUSCO;2022;2106;52;4569;35;956;171;25;631;1656;237;354;56;245;464;10;11;627;227;836
HUANCAVELICA;2022;273;13;679;3;18;95;15;5;115;64;12;9;16;142;10;1;160;120;291
HUANUCO;2022;849;16;1359;3;23;7;12;18;769;255;9;14;16;45;13;1;7;295;44
HUANUCO TINGO MARIA;2022;553;3;51;2;4;3;387;2;104;225;2;5;1;2;2;0;13;331;318
ICA;2022;1652;7;2339;8;14;199;2;9;676;165;20;1491;181;296;293;1;1212;366;17
JUNIN;2022;1399;74;2920;6;1466;128;877;39;1617;661;861;63;787;1728;15;3;1009;665;775
LA LIBERTAD;2022;1373;477;6257;67;66;765;43;40;6465;825;1235;527;1171;817;39;5;2130;700;234
LAMBAYEQUE;2022;1889;1736;4487;194;24;357;151;12;3016;503;96;2367;8;116;23;8;794;380;562
LIMA;2022;5781;2881;25836;1643;4009;6432;864;2531;21677;2674;4450;6098;1648;3817;2380;871;6716;6329;1198
LORETO;2022;785;6;627;3;17;15;786;3;393;307;19;41;1;2;17;1;529;335;45
MADRE DE DIOS;2022;85;5;178;3;12;5;306;7;64;69;3;7;11;10;8;1;19;11;13
MOQUEGUA;2022;298;48;846;381;28;63;2;37;416;94;175;272;100;133;89;1;81;188;5
PASCO;2022;308;2;256;1;10;4;5;178;173;21;24;11;303;550;0;0;28;372;339
PIURA;2022;1806;276;3488;31;34;401;11;391;3795;463;83;824;16;799;769;563;501;219;274
PUNO;2022;1271;803;2867;1614;62;303;7;325;934;451;12;868;219;627;41;0;422;346;17
S.M. MOYOBAMBA;2022;158;18;392;5;7;5;78;4;156;58;5;23;2;2;9;1;19;594;43
S.M. TARAPOTO;2022;884;25;1600;9;17;24;87;0;495;357;31;87;3;0;7;0;29;482;139
TACNA;2022;643;38;1758;570;30;157;3;104;669;326;186;66;227;317;242;0;126;105;18
TUMBES;2022;605;84;268;2;1;7;205;1;149;78;2;18;0;10;374;4;17;6;11
UCAYALI;2022;682;17;506;10;39;14;479;3;265;126;17;29;2;0;11;7;44;255;47
AMAZONAS;2023;242;18;427;14;5;8;49;8;139;372;11;30;1;0;11;2;15;224;127
ANCASH CHIMBOTE;2023;224;25;3052;10;29;48;5;6;1891;533;141;605;29;30;128;2;117;63;12
ANCASH HUARAZ;2023;693;458;1892;9;12;10;17;17;628;165;8;27;16;481;15;1;29;546;38
APURIMAC;2023;662;79;950;20;52;9;14;28;490;574;12;20;9;297;5;1;33;418;47
AREQUIPA;2023;1675;79;4373;288;455;947;6;1514;4302;797;1118;923;1757;1758;277;3;2081;999;76
AYACUCHO;2023;1475;457;1741;24;20;17;40;9;325;470;8;24;3;500;8;1;342;173;25
CAJAMARCA;2023;1164;22;3496;41;11;29;338;427;1659;284;108;196;34;889;2;0;40;773;294
CALLAO;2023;127;83;870;59;282;333;33;93;1077;159;178;162;37;52;201;6;209;307;43
CUSCO;2023;2179;56;5144;42;992;186;28;685;1822;264;376;58;270;524;10;11;643;402;872
HUANCAVELICA;2023;290;12;799;6;18;100;16;5;126;74;12;9;16;154;10;1;209;158;328
HUANUCO;2023;887;17;1589;3;23;9;14;19;811;276;12;14;16;49;13;1;7;342;44
HUANUCO TINGO MARIA;2023;568;2;82;2;4;4;401;2;114;234;1;5;1;2;2;0;13;364;327
ICA;2023;1744;8;2510;10;14;205;2;9;789;185;26;1505;205;320;306;2;1322;415;17
JUNIN;2023;1460;75;3487;10;1571;145;912;44;1785;697;950;70;826;1905;15;3;1064;880;788
LA LIBERTAD;2023;1408;493;7005;92;70;787;44;40;6972;879;1286;612;1232;888;39;5;2165;823;238
LAMBAYEQUE;2023;1965;1780;5138;242;24;391;170;12;3334;565;102;2550;8;136;23;8;838;438;588
LIMA;2023;5903;3084;27640;1736;4147;6771;888;2617;23592;2838;4899;6229;1729;3973;2437;898;6922;7155;1228
LORETO;2023;829;6;692;6;22;16;850;3;431;319;21;42;1;2;18;1;549;401;55
MADRE DE DIOS;2023;86;5;230;3;11;6;328;7;80;78;3;11;11;11;9;1;19;14;13
MOQUEGUA;2023;309;48;948;416;28;70;2;39;448;116;184;319;103;194;103;1;82;310;5
PASCO;2023;324;3;327;1;11;4;6;186;197;24;27;12;314;584;0;0;29;440;361
PIURA;2023;1867;316;4037;39;34;433;13;419;4167;514;88;876;17;868;799;626;532;316;291
PUNO;2023;1300;930;3669;1790;65;391;8;393;1113;545;14;1116;263;687;43;0;443;616;17
S.M. MOYOBAMBA;2023;159;18;441;7;6;7;96;4;174;61;5;24;2;3;9;1;19;658;50
S.M. TARAPOTO;2023;914;27;1822;10;18;23;92;0;544;368;34;94;3;2;8;0;28;570;144
TACNA;2023;676;39;2032;651;31;175;3;108;721;343;236;69;256;365;252;0;136;170;19
TUMBES;2023;627;94;320;2;1;7;226;1;167;80;2;17;0;10;388;4;18;8;11
